TID,Items
3790,"[106, 1423, 2171, 2625]"
3791,"[13, 1617, 1725, 2112, 3818]"
3792,"[2005, 2324, 2858, 3051]"
3793,"[1734, 3114, 3534]"
3794,"[1145, 1997, 3086]"
3795,"[432, 443, 613, 845, 1113, 1836]"
3796,"[480, 1909, 2851, 3106, 3112, 3485, 3730]"
3797,"[1217, 1999, 2692]"
3798,"[68, 1259, 2589, 3120, 3319, 3948]"
3799,"[512, 1193, 1803]"
3800,"[405, 2287, 2699, 3730, 3987]"
3801,"[649, 1671, 2708]"
3802,"[377, 629, 938, 1890, 2081, 2617, 2828, 3764]"
3803,"[395, 437, 1219, 1550, 3114]"
3804,"[1378, 1474, 1716, 2830]"
3805,[1455]
3806,"[221, 517, 1289, 1400, 2731, 3079]"
3807,"[2444, 2989]"
3808,"[383, 555, 1735, 2502, 3114]"
3809,"[1025, 1318, 2212, 3296]"
3810,"[1286, 2093, 2625]"
3811,"[266, 643, 3313]"
3812,"[57, 2565]"
3813,"[90, 470, 1135, 1248, 1384, 3371, 3623]"
3814,"[908, 2063, 3949]"
3815,"[92, 266, 1015]"
3816,"[187, 1486, 1583, 3766]"
3817,"[656, 1292]"
3818,"[145, 1089, 1855, 2174, 2442, 2745, 3013, 3624, 3988]"
3819,"[87, 785, 1122, 2849, 3381, 3474]"
3820,"[253, 2637, 3386, 3460]"
3821,"[867, 1767, 3651]"
3822,"[318, 1009, 1559, 2457, 2579, 3003]"
3823,"[69, 1624, 1893, 2909, 2921]"
3824,"[139, 2141, 2378, 3025, 3054]"
3825,"[74, 93, 3230, 3457, 3655, 3912]"
3826,"[553, 1232, 1608, 2227, 2507, 2967, 3005, 3566, 3905]"
3827,"[1194, 1925, 3835]"
3828,"[179, 813, 905, 1504, 2569]"
3829,"[67, 837, 1537, 2489]"
3830,"[1443, 1907, 2093, 2400, 3114, 3624]"
3831,"[90, 946, 1334, 1396, 1834, 2096, 3149]"
3832,"[690, 891, 1940, 3572]"
3833,"[248, 1956, 3556]"
3834,"[169, 1834, 2368, 2561]"
3835,"[66, 2436, 2786, 2903, 3572]"
3836,"[553, 938, 1853, 2213]"
3837,"[414, 743, 1602, 2780]"
3838,"[87, 1327, 2869, 3269, 3948]"
3839,"[85, 3186, 3351]"
3840,"[2164, 2667]"
3841,"[440, 1474, 3186]"
3842,"[1118, 1233, 2406, 2727]"
3843,"[647, 2489, 3490, 3628]"
3844,"[337, 484, 652, 1302, 1689]"
3845,"[669, 2708, 3292, 3613]"
3846,"[2069, 2764, 3889]"
3847,"[54, 74, 1071, 1952, 2227, 3149, 3186, 3723]"
3848,[1781]
3849,"[1374, 2239, 2682, 3698]"
3850,"[822, 874, 2715]"
3851,"[622, 780, 874, 1664, 3064]"
3852,"[1037, 1269, 2315, 2948, 3492]"
3853,"[628, 722, 901, 1882, 2930, 3801, 3907]"
3854,"[392, 578, 1081, 1222]"
3855,"[241, 1415, 1488, 2212, 2246, 3632]"
3856,"[785, 2034, 2517, 2584, 3114, 3140, 3534]"
3857,"[378, 874, 1530, 2140, 2643]"
3858,"[836, 1658]"
3859,"[1136, 1191, 2062, 2191, 2373, 3141, 3299]"
3860,"[527, 1258, 2714]"
3861,"[521, 1001, 1371, 1386, 2208, 2685, 3149]"
3862,"[50, 1017, 1136, 1662, 3828]"
3863,"[273, 337, 2432, 2578]"
3864,"[95, 216, 545, 1678, 2519, 2789, 2864]"
3865,"[192, 950, 1554, 2291]"
3866,"[69, 389, 2227]"
3867,"[306, 2079, 3642, 3801]"
3868,"[592, 1115, 2208, 3801]"
3869,"[1261, 2182, 2524, 2926, 2989, 3690, 3894]"
3870,"[1145, 1957, 2893]"
3871,"[1313, 2725, 2781, 2802, 3433, 3488]"
3872,"[146, 1117, 2189]"
3873,"[720, 1787, 2576]"
3874,"[288, 659, 797, 1592, 1851, 2247, 3387, 3540, 3554]"
3875,"[184, 259, 891, 1430, 1882, 3167, 3995]"
3876,"[1252, 3405, 3667]"
3877,"[169, 222, 2355, 2717]"
3878,"[502, 934, 1756, 2168, 2984]"
3879,"[1490, 2833, 3979]"
3880,"[69, 2041, 2781, 3450, 3628]"
3881,"[482, 1940, 2650, 2886]"
3882,"[40, 832, 1160, 1668, 3919, 3935]"
3883,"[981, 2129, 2183, 3479]"
3884,"[902, 1194, 3085]"
3885,"[146, 3367]"
3886,"[112, 683, 871, 981, 2303]"
3887,"[783, 1981, 2409]"
3888,"[561, 791, 805, 947, 2268, 3160, 3683, 3858]"
3889,"[539, 2833, 2834]"
3890,"[534, 966, 1255, 1492, 1630, 2175, 2311, 3086, 3152, 3231, 3267]"
3891,"[497, 1208, 2715]"
3892,"[1523, 2275]"
3893,"[419, 502]"
3894,[1233]
3895,"[197, 1746, 2038, 2343, 2401, 3366, 3623]"
3896,"[667, 677, 1502, 1731, 3580, 3773]"
3897,[994]
3898,"[97, 1015, 1958, 1964, 3305]"
3899,"[127, 167, 1067, 1989, 3307, 3879]"
3900,"[1541, 2674, 2961]"
3901,"[28, 1557, 2339, 3292]"
3902,"[2308, 2759, 3296]"
3903,"[47, 402, 2415, 3008, 3149, 3151, 3496, 3722]"
3904,"[1085, 1096, 1992, 3547]"
3905,"[259, 790, 1125, 1711]"
3906,"[626, 988, 2355, 3009, 3929, 3988]"
3907,"[1195, 2140, 3931]"
3908,"[273, 2060, 2580]"
3909,"[127, 1324, 1346, 1523, 2726, 3262, 3551, 3989]"
3910,"[389, 2513, 3156]"
3911,"[150, 1202, 2611, 2885, 3305]"
3912,"[472, 482, 2343, 2858, 2861]"
3913,"[169, 2001, 2764, 3379]"
3914,[2226]
3915,"[1441, 2085, 2228, 2289, 3479]"
3916,"[858, 1988, 2268, 2425, 3168]"
3917,"[172, 1190, 1617, 1999, 2809, 3736, 3882]"
3918,"[1730, 3073]"
3919,"[949, 2670, 3746]"
3920,"[603, 2216, 2599, 3295, 3871]"
3921,"[392, 1821]"
3922,"[642, 807, 1624, 1730, 2017, 3919]"
3923,"[1629, 3084]"
3924,"[246, 668, 817, 1235]"
3925,"[117, 1466, 1913, 2175]"
3926,"[939, 1518, 2559, 2703, 3464]"
3927,"[601, 990, 1594, 1756, 3617]"
3928,"[1645, 2275, 2743, 3488, 3740]"
3929,"[625, 2601, 3254, 3409]"
3930,"[361, 1051]"
3931,"[623, 1836, 2140, 2542]"
3932,"[909, 2035, 2098, 3387, 3572]"
3933,"[133, 989, 1541, 2358]"
3934,"[1705, 2415]"
3935,"[179, 813, 2569]"
3936,"[1993, 2449]"
3937,"[1227, 1852, 2445]"
3938,"[797, 986, 1592, 3554]"
3939,[967]
3940,"[2781, 3547]"
3941,"[48, 764, 1464, 1765]"
3942,"[334, 870, 883, 2098, 3056, 3743]"
3943,"[913, 1234, 1620, 1655, 2992, 3267, 3411, 3446]"
3944,"[1079, 1430, 1545, 2004, 2517, 2747, 3008]"
3945,"[248, 1314, 1502, 1610, 1944, 2010, 2528, 2986, 3023, 3256, 3669]"
3946,"[201, 885, 1955, 1982, 2735]"
3947,"[1311, 1358, 1388, 2176, 2265, 2397, 3032, 3607]"
3948,"[16, 81, 553, 868, 1144, 1689, 1962, 3062, 3677]"
3949,"[127, 540, 2759, 3674]"
3950,"[647, 852, 931, 1202, 1537, 1697, 2591, 3222]"
3951,"[93, 135, 182, 1042, 1190, 1191, 3497]"
3952,"[116, 325, 707, 799]"
3953,"[2445, 3092, 3473]"
3954,"[48, 799, 870, 1131, 1498, 1871, 1873, 2452, 3478, 3931]"
3955,"[539, 1524, 1643, 2872]"
3956,"[2462, 2509]"
3957,"[849, 2321, 3522, 3725]"
3958,"[2042, 2852, 3142]"
3959,"[361, 599, 1693, 1971, 2231, 3639, 3907]"
3960,"[234, 368, 1464, 1504, 1822]"
3961,[595]
3962,"[1122, 1191, 2182, 3069, 3405, 3800]"
3963,"[1421, 1699, 3128]"
3964,"[1184, 1993, 2030, 2266, 2595, 2831, 3653]"
3965,"[229, 723, 3268]"
3966,"[1907, 2979]"
3967,"[1075, 2021, 2949, 3114, 3281]"
3968,"[197, 877, 2529, 3055, 3289, 3361]"
3969,[148]
3970,"[595, 2385, 3216]"
3971,"[1279, 3664, 3812]"
3972,"[1530, 1624, 1705, 3532, 3596]"
3973,"[38, 471, 531, 830, 860, 3779]"
3974,"[42, 543, 557, 1191, 2192, 3151]"
3975,"[1443, 1480, 2267, 3581]"
3976,"[1092, 1125, 3889]"
3977,"[118, 858, 1188]"
3978,"[599, 722, 1088, 2919, 2989]"
3979,"[192, 1816, 1914, 2667, 3914]"
3980,"[1343, 3216, 3673]"
3981,"[155, 961, 1595, 1629, 1903, 2610]"
3982,"[147, 1464]"
3983,"[3075, 3111, 3217, 3751]"
3984,"[50, 326, 1826, 2370, 2486]"
3985,"[389, 1414, 1717, 2427, 3136, 3161, 3564, 3774]"
3986,"[181, 962, 1318, 2964]"
3987,"[963, 3103, 3149]"
3988,"[170, 885, 1003, 1093]"
3989,"[1146, 1828, 2121, 2391, 3008]"
3990,"[444, 722, 1281, 1296, 1486, 2110, 2685]"
3991,"[466, 540, 1017, 2339, 2528, 3271]"
3992,"[147, 1723, 2360, 3474, 3801]"
3993,"[74, 2140, 2456, 2568, 2715, 3092, 3889]"
3994,"[412, 537, 558, 1826, 2725, 3612]"
3995,"[1945, 2001, 2471, 2685, 3927]"
3996,"[1594, 3231, 3492]"
3997,"[723, 1982, 2501, 3017]"
3998,"[49, 67, 981, 1225, 2706, 2826]"
3999,"[1984, 2487, 3454, 3542, 3912]"
4000,"[1232, 1503, 2462, 2955, 3448, 3685]"
4001,"[41, 119, 1134, 2280, 3023, 3359]"
4002,"[222, 1461, 2573, 3398]"
4003,"[1975, 2764, 3075]"
4004,"[86, 509, 652, 801, 2268, 2852, 3514, 3799]"
4005,"[192, 1343, 3628]"
4006,"[509, 1113, 2684]"
4007,"[419, 432, 988, 2095, 2849, 3802]"
4008,"[1097, 3719, 3822, 3874]"
4009,"[26, 117, 988, 2842, 2948, 3768]"
4010,"[73, 314, 902, 3140, 3572]"
4011,"[1563, 1989, 2969, 3182, 3501, 3587, 3656]"
4012,"[2800, 3320]"
4013,"[903, 3488]"
4014,"[529, 575, 1361, 1739, 2829, 3317, 3952]"
4015,"[199, 763, 808, 2489, 2536, 3878, 3972]"
4016,"[1117, 1210]"
4017,"[2370, 3472]"
4018,"[289, 679, 729, 1152, 1502, 2527, 2744, 3266, 3952]"
4019,"[1666, 2031, 2215, 2355, 2739, 3008, 3692, 3739]"
4020,"[509, 1294, 3035, 3300, 3697]"
4021,"[501, 824, 1094, 2634, 3796]"
4022,"[838, 1463, 2748, 3801]"
4023,"[219, 975, 1343, 1643, 3159, 3362]"
4024,"[1923, 2010, 2781]"
4025,"[634, 670, 2114, 2187]"
4026,"[640, 908, 949, 1235, 2063, 2223, 2787, 2810, 3092, 3949]"
4027,"[589, 1224, 1617, 2112, 2499, 2569, 3488, 3921]"
4028,"[783, 3514, 3883, 3921]"
4029,"[832, 1664, 1697, 3180, 3450]"
4030,"[592, 1115, 2208]"
4031,"[789, 1224, 1336, 1344, 1541, 2308, 2401, 2796]"
4032,"[123, 1804, 2507]"
4033,"[1375, 1878, 2589]"
4034,"[303, 1232, 2441, 2907]"
4035,"[432, 443, 613, 845, 1113, 1274, 1836, 3390]"
4036,"[118, 261, 2250, 3387, 3615]"
4037,"[318, 1650, 3715]"
4038,"[325, 676, 1312, 2101, 3450]"
4039,"[160, 214, 3305, 3756]"
4040,"[480, 500, 855]"
4041,"[335, 959, 1352, 1836, 3216, 3625]"
4042,"[38, 49, 599, 2001, 2714, 2764, 2828]"
4043,"[577, 1286, 2151, 2375, 3484]"
4044,"[231, 1315, 3528]"
4045,"[623, 1751, 1859, 1976, 2973, 3035, 3988]"
4046,"[1196, 3371]"
4047,"[1393, 2000, 2564, 2979]"
4048,"[123, 566, 771, 930, 2457]"
4049,"[894, 2489, 2769, 3056, 3938]"
4050,"[221, 1023, 1458, 3008]"
4051,"[222, 416, 1834, 2578]"
4052,"[495, 1300, 3119, 3446, 3505, 3548]"
4053,"[200, 1128, 2430, 2612, 3254]"
4054,"[1484, 1737, 2538, 2561]"
4055,"[48, 764, 1678, 1765, 2979, 3641, 3772]"
4056,"[1003, 1044, 1405, 1952, 2021, 2842, 3065, 3577, 3764, 3938]"
4057,"[1017, 1613, 3089]"
4058,"[170, 885, 1003, 1093, 2731, 3066]"
4059,"[988, 2208, 3801]"
4060,"[86, 545, 1250, 1293, 1446, 2010, 2624, 3190, 3526]"
4061,"[544, 731, 2288, 2415, 3160, 3753]"
4062,"[109, 2173, 2194, 2676, 2953, 3578]"
4063,"[1346, 2157]"
4064,"[89, 527, 2418, 2508]"
4065,"[929, 1039, 1454]"
4066,"[1593, 1696, 3262, 3403, 3730, 3854]"
4067,"[2197, 2593, 3524, 3911]"
4068,[3251]
4069,"[1003, 1834, 2096, 2774]"
4070,"[3333, 3409, 3730, 3741]"
4071,"[1479, 2852, 3165, 3405]"
4072,"[90, 666, 2025, 2192, 3617]"
4073,"[259, 592, 1475, 3496, 3655]"
4074,"[1333, 3160, 3211]"
4075,"[319, 3186, 3583]"
4076,"[318, 1009, 1559, 2457, 2579, 3003]"
4077,"[1188, 1190, 3666, 3834]"
4078,"[849, 3159, 3281]"
4079,"[868, 1003, 1817, 2417, 2878, 3441]"
4080,"[405, 1462, 1541, 2080, 2518, 2946, 3480, 3628]"
4081,"[1683, 3261, 3481]"
4082,"[387, 1144]"
4083,"[83, 130, 1744, 3281, 3319, 3552]"
4084,"[575, 1458, 2445, 2842, 2893, 3767]"
4085,"[442, 991, 1034, 1318, 1746, 2739, 2978, 3537]"
4086,"[3, 3117, 3980]"
4087,"[808, 2237, 2420, 2992, 3271, 3676]"
4088,"[1945, 2001, 2471, 2685, 3927]"
4089,"[2471, 2759, 2864, 2970, 3559]"
4090,"[510, 1017, 1092, 2648, 3752, 3833]"
4091,"[1349, 1481, 2179, 3702, 3962]"
4092,"[380, 1294, 1731, 2266, 3794, 3908, 3948]"
4093,"[3, 447, 1209, 1893, 2239]"
4094,"[69, 490, 566, 2357, 2592]"
4095,"[446, 1988, 3119]"
4096,"[104, 1294, 1679, 3411]"
4097,"[1228, 1325]"
4098,"[416, 1014, 1232, 1744, 2337, 3056]"
4099,"[69, 281, 1023, 1648, 3639]"
4100,"[2900, 3651]"
4101,"[409, 831, 888, 1468, 3165]"
4102,"[721, 1156, 2446, 3142, 3759, 3810]"
4103,"[23, 223, 1458, 1717, 3341]"
4104,"[300, 737, 1658, 3626]"
4105,"[868, 1804, 2229]"
4106,"[222, 1531, 1541, 1750, 3934]"
4107,"[36, 1021, 3583]"
4108,"[169, 1834, 2368, 2561]"
4109,"[238, 832, 947, 992, 1119, 1664, 1673, 2900, 3196]"
4110,"[168, 1517, 2739, 3349]"
4111,"[604, 1416, 2769]"
4112,"[961, 1205, 2739, 3153, 3273, 3333, 3635, 3823]"
4113,"[100, 444, 786, 2134, 2557, 2933, 3948]"
4114,"[1120, 1183, 3159, 3741]"
4115,"[1382, 1884, 2870, 3777]"
4116,"[280, 1578, 1686, 3060, 3159, 3211]"
4117,"[517, 1479, 1518, 2035, 2576, 3293, 3551]"
4118,"[183, 379, 1289, 1294, 1417, 2937]"
4119,"[1152, 1853, 2214, 3214]"
4120,"[988, 1412, 2176, 2924, 3392]"
4121,"[1956, 2228, 2245, 2647]"
4122,"[2533, 2625, 3072]"
4123,"[1178, 1361]"
4124,"[48, 1276, 2208, 2234, 2333, 2418]"
4125,"[1401, 3960]"
4126,"[915, 1073, 2886]"
4127,"[1394, 1431, 2362, 2747]"
4128,"[39, 274, 1145, 2198, 3212, 3411, 3649, 3683]"
4129,"[1703, 2476, 2563, 3665]"
4130,"[1320, 2458]"
4131,"[968, 994, 1097, 1688, 1756, 2567, 3474]"
4132,"[2564, 3012, 3277, 3542, 3954]"
4133,"[1738, 1787, 2921, 3241, 3684]"
4134,"[571, 1713, 2825]"
4135,"[333, 1375, 1562, 2898]"
4136,"[182, 343, 2355, 2676, 3623, 3851, 3924]"
4137,[1404]
4138,"[953, 1484, 2561, 3320]"
4139,"[1188, 1196]"
4140,"[371, 764, 1234, 3296, 3341]"
4141,"[2024, 2315, 2600, 3051, 3678]"
4142,"[260, 592, 1007]"
4143,"[2126, 3651]"
4144,"[2101, 2181]"
4145,"[653, 809]"
4146,"[1386, 1697, 2065, 2371, 3468]"
4147,"[2293, 2819, 3609]"
4148,"[1230, 1914, 2001]"
4149,"[1125, 3245]"
4150,"[811, 885, 1247]"
4151,"[222, 1269, 2659]"
4152,"[595, 858, 973, 1988, 2268, 2425, 3168]"
4153,"[412, 699, 870, 1281, 2312, 3304, 3667]"
4154,"[238, 924, 933, 1488, 2259, 2705, 2774, 3000]"
4155,"[1067, 1275, 2907]"
4156,"[570, 1032, 1224, 1412, 1914, 2747, 3384]"
4157,"[137, 1395, 3286]"
4158,"[1033, 2360, 3083, 3950]"
4159,"[123, 181, 2886]"
4160,"[183, 193, 707, 734, 1716, 2053, 2088, 2561]"
4161,"[723, 2445]"
4162,"[214, 1015, 3281]"
4163,"[259, 544, 1989, 3483]"
4164,"[2051, 2116, 2406, 2852, 3254, 3683]"
4165,"[36, 1126, 1147, 1710, 3341, 3546]"
4166,"[1971, 2714, 3680]"
4167,"[1500, 1878, 2031, 2439, 3656]"
4168,"[516, 722, 803, 810, 2612, 3220, 3552, 3997]"
4169,"[359, 758, 2508, 2842, 3755]"
4170,"[1009, 1301, 1756, 2571, 2652, 3684]"
4171,"[106, 555, 1500, 1706, 1750, 1893, 2024, 2647, 3149, 3156, 3484, 3885]"
4172,"[281, 497, 571, 706, 1276, 2123, 2284, 2962, 3160]"
4173,"[1235, 1279, 1941, 3143, 3514]"
4174,[2449]
4175,"[837, 921, 1119, 1709, 2118, 2201, 3930]"
4176,"[209, 2610, 3524, 3552, 3600, 3664, 3825, 3920, 3952]"
4177,"[353, 1189, 1411, 1705, 3192]"
4178,"[69, 236, 843, 1664]"
4179,"[326, 743, 1256, 2387]"
4180,"[1320, 2458]"
4181,"[338, 2157, 2319, 2401]"
4182,"[1764, 2320]"
4183,"[827, 1149, 1160, 1493, 2205, 2289, 3140, 3656]"
4184,"[335, 360, 591, 1023, 1372, 1498, 1973, 3342, 3498, 3591, 3669]"
4185,"[266, 338, 643, 1609, 2477, 2597, 3932]"
4186,"[806, 946, 1533, 2889, 2929, 3562, 3988]"
4187,"[3, 102, 1621, 2168, 2580]"
4188,"[953, 1484, 2561, 3320]"
4189,"[482, 1015, 1762, 2187, 2650, 2886, 3397]"
4190,[3526]
4191,"[163, 2053, 2596, 2781, 3273]"
4192,"[1371, 2268, 2612, 3452, 3571]"
4193,"[1226, 2933]"
4194,"[140, 2021, 2987, 3669]"
4195,"[1504, 1605, 1609, 2649, 3147, 3175, 3261]"
4196,"[2276, 3386, 3454]"
4197,"[1713, 2569, 2900, 2989, 3512]"
4198,"[1414, 2427, 2430, 3564]"
4199,"[2468, 3355, 3546]"
4200,"[363, 1067, 1750]"
4201,"[2506, 2853, 3003, 3330]"
4202,"[2474, 2589]"
4203,"[38, 2893]"
4204,"[3, 3117, 3839, 3980]"
4205,"[402, 1386, 2923, 3319, 3739]"
4206,"[234, 1464, 1822]"
4207,"[2247, 2466]"
4208,"[1412, 2169, 2260, 2870]"
4209,"[140, 318]"
4210,"[371, 1119]"
4211,"[1334, 1554, 2524, 2638, 2918, 3160]"
4212,"[1581, 1993, 2082, 2191]"
4213,"[333, 1697, 2418, 3287]"
4214,"[707, 1132, 1554, 1590, 1918, 2057, 2276, 2648, 2937, 3319]"
4215,"[904, 1444, 1895, 2677]"
4216,"[209, 354, 1912, 3203, 3458]"
4217,"[601, 1228, 1265, 1413, 1452, 2882, 3648, 3656, 3815]"
4218,"[107, 889, 1405, 1735, 1775, 3045, 3692, 3929, 3935]"
4219,"[1040, 2472, 3667]"
4220,"[395, 403, 446, 999, 2095, 3573]"
4221,"[1394, 1431, 2362, 2747]"
4222,"[691, 710, 777]"
4223,"[389, 582, 730, 1905, 2068, 2408, 2445, 2660, 2790, 2918, 3193, 3351, 3728]"
4224,"[368, 826, 2298, 3114, 3982]"
4225,"[1737, 2802, 3745, 3871]"
4226,"[1174, 2431, 3980]"
4227,"[66, 486]"
4228,"[1092, 1234, 1927]"
4229,"[60, 293, 2506, 3212, 3226]"
4230,"[989, 2063, 2223, 3081, 3949]"
4231,"[2034, 2136, 2825, 3416, 3827, 3934, 3968]"
4232,"[190, 998, 1143, 2339]"
4233,"[571, 1003, 1480, 1761, 2193, 3931]"
4234,"[868, 1871, 2053, 2339, 2555, 3595, 3994]"
4235,"[182, 3668]"
4236,"[1371, 1565, 1684, 1750]"
4237,"[591, 1023, 1372, 1973]"
4238,"[9, 1799, 1952]"
4239,"[377, 930, 1093, 1545, 1557, 1928, 2469, 3527]"
4240,"[951, 2722]"
4241,"[510, 2648, 3752, 3833]"
4242,[2989]
4243,"[868, 904, 1354, 2193, 2864, 3013]"
4244,"[176, 2095]"
4245,"[1343, 3685, 3796]"
4246,"[221, 464, 539, 1504, 2198, 3066]"
4247,"[375, 518, 1700, 2531]"
4248,"[3090, 3460, 3752]"
4249,"[480, 1170, 1297, 1859, 2450, 3165]"
4250,"[451, 524, 575, 720, 988, 1058, 2393, 2626, 3934]"
4251,"[29, 668, 1721, 1857]"
4252,"[28, 420, 598, 728, 1971, 2953]"
4253,"[229, 1810, 2227, 2610]"
4254,[300]
4255,"[419, 1350, 1578, 2115, 3168, 3532]"
4256,"[1466, 3456]"
4257,"[170, 662, 1145, 1371, 3149]"
4258,[246]
4259,"[806, 1533, 2929]"
4260,"[558, 2343, 3662]"
4261,"[490, 2829, 3515, 3952]"
4262,"[992, 1144, 3684]"
4263,"[1119, 1536, 3120]"
4264,"[610, 720, 1834, 2073, 3479]"
4265,"[36, 1513, 2373, 3768]"
4266,"[1231, 1905, 2658]"
4267,"[38, 170, 260, 592, 860, 1007, 1086, 1184, 1403, 2597, 2829, 3035, 3477, 3651]"
4268,"[1095, 2531, 3288]"
4269,"[85, 1246, 2319, 3319, 3351]"
4270,"[74, 139, 1643]"
4271,"[1740, 2864, 3616]"
4272,"[231, 764, 1275, 2287, 2795]"
4273,"[299, 491, 539, 874, 2979, 3086, 3986]"
4274,[1014]
4275,"[116, 973, 1186, 1531, 2131]"
4276,"[1940, 3035]"
4277,"[951, 1826, 2722, 3169]"
4278,"[106, 1837, 2528, 2630, 2672, 3351]"
4279,"[1132, 2297, 3293, 3583, 3742]"
4280,[3869]
4281,"[161, 246, 431, 1023, 1928, 2527, 2741]"
4282,"[120, 359, 732, 770, 2932]"
4283,"[477, 2060, 2861, 3883]"
4284,"[1436, 2908, 3357]"
4285,"[351, 647, 1461, 3066, 3290]"
4286,"[540, 1928, 3835]"
4287,"[131, 170, 662, 1145, 1371]"
4288,"[480, 501, 595, 683, 2193, 2894, 3203, 3228, 3480]"
4289,"[1276, 1523, 1530, 2142, 2198]"
4290,"[1233, 3465, 3572, 3591]"
4291,"[372, 1836, 1916, 3741]"
4292,[2872]
4293,"[1159, 2585, 3752]"
4294,"[1315, 2297, 3197, 3678]"
4295,[1940]
4296,"[992, 1349, 2739, 3120]"
4297,"[314, 2026, 3551, 3655]"
4298,"[3435, 3487]"
4299,"[521, 2513]"
4300,"[1504, 2781, 3456]"
4301,"[785, 1026, 1286, 1371, 2359, 2599]"
4302,"[333, 1235, 2418, 3287]"
4303,"[368, 1464, 1504]"
4304,"[117, 1613, 1682, 1790, 3987]"
4305,"[518, 799, 1233, 1264, 2025]"
4306,"[125, 201, 420, 1859, 2695]"
4307,"[106, 786, 1275, 2532, 2589, 2695]"
4308,"[39, 2198]"
4309,"[720, 1940, 3253]"
4310,"[247, 2079, 3190, 3601]"
4311,"[62, 142, 360, 1725]"
4312,"[405, 2287, 2699, 3730, 3987]"
4313,"[40, 3518]"
4314,"[994, 1688]"
4315,"[209, 272, 1952, 2025, 2094, 3317, 3557]"
4316,"[2271, 2541, 3181, 3279, 3532]"
4317,"[326, 848, 1096, 1324, 1554, 2337, 3368]"
4318,"[571, 1878, 3538]"
4319,[3361]
4320,"[1428, 2114]"
4321,"[38, 539, 820, 1363, 2337]"
4322,"[1628, 3996]"
4323,"[409, 1224, 1269, 1316, 3655, 3784]"
4324,"[459, 871, 1260, 3899, 3952]"
4325,"[25, 668, 2535, 3551]"
4326,"[36, 1126, 1147, 1710, 2110]"
4327,"[444, 722, 1248, 1281, 1296, 1486, 2110, 2685, 2852]"
4328,[430]
4329,"[405, 1423, 1972, 2424, 3136]"
4330,"[737, 1932, 2798, 3221, 3740]"
4331,"[738, 1545, 3010, 3657]"
4332,"[1279, 2869, 3193]"
4333,"[666, 2339]"
4334,"[662, 3047, 3401]"
4335,"[283, 1559, 2377, 3193, 3244]"
4336,"[1388, 1899, 3190, 3601]"
4337,"[405, 2364, 2536, 2947, 3054]"
4338,[3454]
4339,"[690, 2383, 3277, 3792]"
4340,"[1166, 1995, 3154]"
4341,[3226]
4342,"[54, 74, 1071, 1952, 2227, 3149, 3723]"
4343,"[879, 1458, 1816, 2500, 3667]"
4344,"[404, 1430, 2085, 2519, 2918]"
4345,"[233, 1590, 3879]"
4346,"[1541, 2674, 2961]"
4347,"[332, 342, 2472, 2501, 3017, 3300]"
4348,"[1467, 1524]"
4349,"[132, 1118, 1859, 2250, 2322, 2669, 2912, 3980]"
4350,"[1186, 1744, 2398, 2778, 2798, 3186]"
4351,"[697, 1234, 1315, 3287]"
4352,"[176, 599, 1114, 1477, 2172, 3094]"
4353,"[2898, 2996, 3870]"
4354,"[36, 2090, 2391, 2509, 3387]"
4355,"[600, 2539, 3519]"
4356,"[605, 3305, 3356]"
4357,"[2413, 2445]"
4358,"[137, 1186, 1671, 1827, 3465]"
4359,"[7, 495, 2234, 2801, 3936]"
4360,"[234, 1582, 2508, 3070, 3110, 3812]"
4361,"[1352, 2578, 2658]"
4362,"[259, 828, 1464, 1528, 2284]"
4363,"[21, 123, 566, 771, 930, 2457]"
4364,"[274, 405, 1665, 3828]"
4365,"[1565, 1684, 1750]"
4366,[1026]
4367,"[3083, 3253, 3381, 3496, 3902]"
4368,"[368, 938, 2472, 2843, 2915]"
4369,"[666, 874, 1572, 2237]"
4370,"[389, 850, 2227, 3543]"
4371,"[578, 1836]"
4372,"[377, 1327, 2469, 3365, 3615]"
4373,"[566, 1009, 1310, 2236]"
4374,"[989, 3081]"
4375,"[607, 1093, 1343, 3532]"
4376,"[2754, 3203, 3498, 3974]"
4377,"[553, 889, 1015, 2035, 2302, 2673, 2842, 3267, 3506]"
4378,"[656, 1023, 1613, 3013, 3546]"
4379,"[740, 1276, 1698, 2538]"
4380,[291]
4381,"[908, 2063, 2223, 3949]"
4382,"[38, 3960]"
4383,[2900]
4384,"[89, 1376]"
4385,"[1228, 3437, 3801, 3914, 3932]"
4386,"[293, 859, 1114, 1988, 2964, 3489]"
4387,"[297, 500, 2118, 3552, 3748]"
4388,"[23, 1424, 3106, 3547]"
4389,"[1986, 2265, 3708]"
4390,"[704, 901, 2933, 3159, 3488, 3583, 3641]"
4391,"[849, 1475, 1503, 2849, 3259]"
4392,[1231]
4393,"[29, 668, 1042, 1047, 1595, 1721, 1857]"
4394,"[139, 176, 1681, 2699, 3361]"
4395,"[172, 1541, 2297, 3666]"
4396,"[18, 1971, 2046, 3480, 3526]"
4397,"[1333, 3160, 3211]"
4398,"[415, 471, 1314, 2485, 3356, 3980]"
4399,"[801, 925, 2050, 3350]"
4400,"[63, 1349, 3488, 3932]"
4401,"[78, 404, 740, 806, 1265, 2001, 3787]"
4402,"[507, 1518, 1668, 1911, 2235, 3854]"
4403,"[9, 480, 1799, 1952, 2079]"
